Language,	English,	French
STR_WC_TEAM0,	"Mercenary",	"Mercenaire"
STR_WC_TEAM1,	"Hero team",	"Heroe team"
STR_WC_TEAM2,	"Elite team",	"Elite team"
STR_WC_TEAM3,	"Experienced team",	"Experienced team"
STR_WC_TEAM4,	"Confirmed team",	"Confirmed team"
STR_WC_TEAM5,	"Noob team",	"Noobs team"
STR_WC_TEAM6,	"Calamity team",	"Calamity team"
STR_WC_TEAM7,	"Bastard team",	"Bastard team"
STR_WC_TEAM8,	"Asshole team",	"Asshole team"
STR_WC_ASSHOLETEAM,		"A rating of 'Asshole Team' means that the players are not cooperating. They do what they want and cause far too much random damage. Be aware this rating may have been caused by team killing, or the team is losing extremly badly.",	"Asshole team signifie que cette partie n est pas cooperative. Les joueurs font ce qu ils veulent et certainement pas ce qu il faut. Ils detruisent tout ce qu ils voient. Vous devriez vous deconnecter de ce serveur car il y a certainement plein de team killers"
STR_WC_BASTARDTEAM,		"A rating of 'Bastard Team' means that the team is not performing successfully or have been extremely unlucky. Players are most likely working as individuals rather than a team. They may have won a few points that way but this is a team mission, so they are losing.",	"Bastard team signifie que les actions des joueurs sont stupides. Les joueurs font ce qu ils veulent et meme si ca n est pas vraiment une equipe ils gagnent des points"
STR_WC_CALAMITYTEAM,	"A rating of 'Calamity Team' means that the team is either disfunctional or unlucky. Players respawn in base too often, rush to objectives, or make bad strategic choices.",	"Calamity team signifie que les actions de l'equipe sont peines perdues. Les joueurs respawnent souvent a la base, rush sur les objectifs, ou on une mauvaise strategie d equipe"
STR_WC_NOOBTEAM,		"A rating of 'Noob Team' is the rating for starting teams who have only just begun the mission. It is important you work together as a team and think strategically and tactically. Follow the orders of the team leader.",	"Noob team signifie que la team commence le jeu ou essaie de se maintenir au niveau. Essayez de suivre les actions de l'equipe, et de soutenir les actions de groupe pour atteindre le rang au dessus."
STR_WC_CONFIRMEDTEAM,	"A rating of 'Confirmed Team' indicates a team that has had some success and tries hard to complete the mission, and take strategic actions, but they still have a way to go to become experienced.",	"Les membres de l'equipe sont confirmes. Ils essaient de terminer la mission, font des actions strategiques, mais doivent s entrainer pour atteindre un rang superieur."
STR_WC_EXPERIENCEDTEAM,	"Members of an 'Experienced Team' play well together as a unit. They complete the missions, but experienced is not yet elite, so they can still improve.",	"Les membres de l'equipe jouent ensemble et bien. Ils terminent les missions, mais ne tuent pas assez d enemis pour etre une grande equipe."
STR_WC_ELITETEAM,		"Members of an 'Elite Team' are a tight-knit unit operating with a high level of skill and co-ordination. If you have achieved this level, your team is very good.",	"Les membres de l'equipe sont des elites. Ils jouent ensemble et ont un tres haut niveau. Si vous avez ce niveau, votre equipe est tres bonne."
STR_WC_HEROETEAM,		"Members of a 'Hero Team' are probably one of the best teams of the Arma community. There aren't many teams with this level of skill out there!",	"Les membres de l'equipe sont des heros. Votre equipe est l une des meilleurs de la communaute arma. Il y a peu d equipes qui ont votre niveau!"
STR_WC_TRANSFERTPOINT,	"You have to transfer %1 points to other players!",	"Vous devez transferer %1 points aux autres joueurs!"
STR_WC_SHAREPOINTS,		"Give somes points to others players through the mission info menu when you think they do a good job.",	"Distribuez des points aux autres joueurs via le menu mission info quand vous pensez qu ils ont bien joue."
STR_WC_MISSION0,	"Intel has located an enemy nuclear scud launcher. We believe that it is in the processes of being fueled. Take the scud launcher out!",	"Intel a localisé un ennemi lanceur nucléaire scud. Nous croyons que c'est dans les processus d'être alimenté. Prenez le lanceur scud sur!"
STR_WC_MISSION1,	"Destroy an enemy %1.",	"Détruire un ennemi de %1."
STR_WC_MISSION2,	"Rob an enemy %1.",	"Voler un ennemi à %1."
STR_WC_MISSION3,	"Sabotage an enemy %1. Do not get caught!",	"Sabotage d'un %1 ennemi. Ne pas se faire attraper!"
STR_WC_MISSION4,	"Raid the airfield and destroy an enemy %1.",	"Raid de l'aérodrome et de détruire un ennemi %1."
STR_WC_MISSION5,	"Raid the airfield and rob an enemy %1.",	"Raid de l'aérodrome et de voler un ennemi %1."
STR_WC_MISSION6,	"Sabotage an enemy %1. Do not get caught!",	"Sabotage d'un %1 ennemi. Ne pas se faire attraper!"
STR_WC_MISSION7,	"A friendly %1 was knocked out in the area. Destroy it before it falls into enemy hands.",	"A %1 amiable a été éliminé dans la région. Détruisez-le avant qu'il ne tombe entre des mains ennemies."
STR_WC_MISSION8,	"A friendly %1 was knocked out in the area. Retrieve it before it falls into enemy hands.",	"A %1 amiable a été éliminé dans la région. Récupérez-le avant qu'il ne tombe entre des mains ennemies."
STR_WC_MISSION9,	"The enemy has knocked out an %1. Head to the area and sabotage it before they move it. Do not get caught!",	"L'ennemi a assommé d'un %1. Dirigez-vous vers la zone et le saboter avant de le déplacer. Ne pas se faire attraper!"
STR_WC_MISSION10,	"The enemy has a %1. Raid the airfield and destroy it.",	"L'ennemi a %1. Raid de l'aérodrome et de la détruire."
STR_WC_MISSION11,	"The enemy has forced down an %1. Retrieve it.",	"L'ennemi a fait baisser d'un %1. Récupérez-le."
STR_WC_MISSION12,	"The enemy has a %1. Go to the airfield and sabotage it. Do not get caught!",	"L'ennemi a %1. Aller à l'aérodrome et de le saboter. Ne pas se faire attraper!"
STR_WC_MISSION13,	"Enemy armor is using these fuel pumps to fuel their light and heavy armor. Destroy the fuel pumps.",	"Armure de l'ennemi se sert de ces pompes à carburant pour alimenter leur lumière et une armure lourde. Détruire les pompes à essence."
STR_WC_MISSION14,	"The enemy has offloaded large amounts of fuel from their ships. These tanks are holding the fuel until it can be transported. Knocking out the fuel tanks would strike a major blow.",	"L'ennemi a déchargé de grandes quantités de carburant à partir de leurs navires. Ces réservoirs sont maintenant le carburant jusqu'à ce qu'il puisse être transporté. Assommant les réservoirs de carburant serait frapper un grand coup."
STR_WC_MISSION15,	"Destroy the enemy barracks.",	"Détruisez la caserne ennemie."
STR_WC_MISSION16,	"A high level Russian commander is in the area visiting the front line. Take him out.",	"Un commandant de haut niveau russe est dans la zone de visiter la ligne de front. Faites-le sortir."
STR_WC_MISSION17,	"Intel has found the location of an Insurgent commander. Killing him would be a major blow to the Insurgent command.",	"Intel a trouvé l'emplacement de un commandant de l'Insurgent. Le tuer serait un coup dur pour la commande des insurgés."
STR_WC_MISSION18,	"Kill a Russian officer.",	"Tuer un officier russe."
STR_WC_MISSION19,	"Kill a Insurgent officer.",	"Tuer un agent des insurgés."
STR_WC_MISSION20,	"Intel has located a high level Russian commander in the area. The information he could provide would be valuable. Capture him.",	"Intel a localisé un commandant russe de haut niveau dans la région. Les informations qu'il pourrait fournir serait utile. Le capturer."
STR_WC_MISSION21,	"Intel has located a high level Insurgent commander in the area. The information he could provide would be valuable. Capture him.",	"Intel a localisé un commandant de haut niveau des insurgés dans la région. Les informations qu'il pourrait fournir serait utile. Le capturer."
STR_WC_MISSION22,	"Capture a Russian officer.",	"Capture d'un officier russe."
STR_WC_MISSION23,	"Capture a Insurgent officer.",	"Capture d'un officier des insurgés."
STR_WC_MISSION24,	"Intel has found out that a local who has been giving us information is actually a spy. Take him out.",	"Intel a découvert qu'un local qui a été de nous donner l'information est en fait un espion. Faites-le sortir."
STR_WC_MISSION25,	"Locals have reported that suicide bomber is in the area. Clear the area and take out the suicide bomber.",	"Les sections locales ont rapporté que kamikaze est dans la région. Dégagez la zone et sortir le kamikaze."
STR_WC_MISSION26,	"This town is an enemy strong hold. Intel believes that if we can cause a rift in the local populace. Assasinate a civilian. This must look like a civlian did it.",	"Cette ville est une attente forte ennemi. Intel estime que si l'on peut provoquer une rupture dans la population locale que nous pouvons gagner intel de la population locale. Assassiner un civil. Cela doit ressembler à un civlian il l'a fait."
STR_WC_MISSION27,	"We need to bring in a civilian for interrogation. Clear the area and capture him.",	"Nous avons besoin de faire appel à un civil pour interrogatoire. Dégagez la zone et le capturer."
STR_WC_MISSION28,	"A UH1 was brought down over Chernarus by enemy fire. The pilot is still alive and being held. Clear the area and rescue him.",	"Un UH1 a été abattu au-dessus Chernarus par le feu ennemi. Le pilote est toujours en vie et détenus. Dégagez la zone et le sauver."
STR_WC_MISSION29,	"A C130 was brought down over Chernarus by enemy fire. The pilot is still alive and being held. Clear the area and rescue him.",	"Un C130 a été abattu au-dessus Chernarus par le feu ennemi. Le pilote est toujours en vie et détenus. Dégagez la zone et le sauver."
STR_WC_MISSION30,	"The enemy has captured a high ranking USMC officer. He is still in the area. Clear the area and rescue him.",	"L'ennemi a capturé un officier de haut rang USMC. Il est toujours dans la région. Dégagez la zone et le sauver."
STR_WC_MISSION31,	"Defend the area. Goto the bunker and defend the area from an enemy attack.",	"Défendre la région. Aller à la soute et défendre la zone d'une attaque ennemie."
STR_WC_MISSION32,	"Enemy forces are moving in on a communications tower. Goto the tower and defend the area from an enemy attack.",	"Les forces ennemies se déplacent dans une tour de télécommunications. Aller à la tour et défendre la zone d'une attaque ennemie."
STR_WC_MISSION33,	"Enemy forces have launched an offensive on the airfield. Goto the control tower and defend the area from an enemy attack.",	"Les forces ennemies ont lancé une offensive sur le terrain d'aviation. Aller à la tour de contrôle et de défendre la région contre une attaque ennemie."
STR_WC_MISSION34,	"Defend the factory area. Goto the factory and defend the area from an enemy attack.",	"Défendre la zone de l'usine. Aller à l'usine et défendre la zone d'une attaque ennemie."
STR_WC_MISSION35,	"Enemy forces are moving in on the castle for a fortified position. Goto the castle and defend the area from an enemy attack.",	"Les forces ennemies se déplacent dans le château pour une position fortifiée. Goto le château et défendre la zone d'une attaque ennemie."
STR_WC_MISSION36,	"A force recon team is holding an airfield control tower. Enemy forces are launching an offensive to retake the airfield. Goto the force recon team and defend the area from and enemy attack.",	"Une équipe Force Recon est la tenue d'une tour de contrôle d'aérodrome. Les forces ennemies lancent une offensive pour reprendre le terrain d'aviation. Aller à la force de reconstruire l'équipe et défendre la zone des attaques de l'ennemi et."
STR_WC_MISSION37,	"Destroy the Russian radio tower.",	"Détruire la tour de la radio russe."
STR_WC_MISSION38,	"Sabotage the Russian radio tower. Don't get caught.",	"Saboter le tour de la radio russe. Ne pas se faire attraper."
STR_WC_MISSION39,	"Destroy the power generator in the area.",	"Détruisez le générateur de puissance dans la région."
STR_WC_MISSION40,	"Destroy the Russian UAV terminal.",	"Détruire le terminal russe de drones."
STR_WC_MISSION41,	"We need a military hospital built in the area. Secure the area and build it.",	"Nous avons besoin d'un hôpital militaire construit dans la région. Sécuriser la zone et le construire."
STR_WC_MISSION42,	"High command wants a radar tower built in the area. Clear the area and build it.",	"Haut commandement veut une tour radar construit dans la région. Dégagez la zone construite."
STR_WC_MISSION43,	"Our vehicles need a service point built in the area. Secure the area and build it.",	"Nos véhicules ont besoin d'un point de service construits dans la région. Sécuriser la zone et l'a construit."
STR_WC_MISSION44,	"We need a FOB built in this area. Clear the area and build a bunker.",	"Nous avons besoin d'une FOB construit dans ce domaine. Dégagez la zone et construit un bunker."
STR_WC_MISSION45,	"Secure the airfield. Kill all enemy forces in the zone.",	"Fixez le terrain d'aviation. Tuez toutes les forces ennemies dans la zone."
STR_WC_MISSION46,	"Secure the dam. Kill all enemy forces in the zone.",	"Fixez le barrage. Tuez toutes les forces ennemies dans la zone."
STR_WC_MISSION47,	"Secure the castle. Kill all enemy forces in the zone.",	"Fixez le château. Tuez toutes les forces ennemies dans la zone."
STR_WC_MISSION48,	"We have located a mobile Russian HQ in the area. Destroy it.",	"Nous avons localisé un mobile russe QG dans la région. Détruisez-le."
STR_WC_MISSION49,	"We have located a mobile Insurgent HQ in the area. Destroy it.",	"Nous avons trouvé un QG des insurgés mobiles dans la région. Détruisez-le."
STR_WC_MISSION50,	"A Russian heavy armor repair center is in the area. Destroy it.",	"Un Russe centre de réparation lourde armure est dans la région. Détruisez-le."
STR_WC_MISSION51,	"An Insurgent heavy armor repair center is in the area. Destroy it.",	"Un insurgé centre de réparation lourde armure est dans la région. Détruisez-le."
STR_WC_MISSION52,	"A Russian light factory is in the area. Destroy it.",	"Une usine d'industrie légère russe dans la région. Détruisez-le."
STR_WC_MISSION53,	"An Insurgent light factory is in the area. Destroy it.",	"Une usine est la lumière des insurgés dans la région. Détruisez-le."
STR_WC_MISSION54,	"Destroy an enemy vehicle service point.",	"Détruire un ennemi point de service du véhicule."
STR_WC_MISSION55,	"Intel has learned the location of a Russian infantry barracks. Destroy it.",	"Intel a appris l'emplacement d'une caserne d'infanterie russe. Détruisez-le."
STR_WC_MISSION56,	"A Russian field hospital is in the area. Take it out.",	"Un hôpital de campagne russe dans la région. Sortez-le."
STR_WC_MISSION57,	"A Russian air factory has been located in the area. Destroy it.",	"Une usine de l'air russe a été localisé dans la région. Détruisez-le."
STR_WC_MISSION58,	"Intel has spotted a Russian anti-air site in the area. Taking it out would help our pilots. Destroy it.",	"Intel a repéré un Russe anti-aérienne du site dans la zone. Le sortir aiderait à nos pilotes. Détruisez-le."
STR_WC_MISSION59,	"Enemy forces are guarding a small fuel dump in the are. Destroy it.",	"Les forces ennemies sont la garde d'un petit dépôt de carburant dans le sommes. Détruisez-le."
STR_WC_MISSION60,	"Intel has learned the location of a Spetsnaz groups base of operations. Take them out and destroy their transport helicopter.",	"Intel a appris l'emplacement des groupes Spetsnaz une base d'opérations. Sortez-les et détruire leur hélicoptère de transport."
STR_WC_MISSION61,	"Intel has spotted an APC group loading up in the area. Destroy the group and their APC.",	"Intel a repéré un groupe APC chargement dans la région. Détruire le groupe et leur APC."
STR_WC_MISSION62,	"We need intel on enemy movements. Goto the zone and steal the document. Do not get caught.",	"Nous avons besoin d'Intel sur les mouvements de l'ennemi. Aller à la zone et de voler le document. Ne pas se faire attraper."
STR_WC_MISSION63,	"Higher ups think that helping the locals will help us win over the locals. Goto the area and heal them.",	"La hausse des hauts pense qu'aider aider les gens du pays nous aidera à gagner les habitants. Aller à la zone et les guérir."
STR_WC_MISSION64,	"We just got word that civilians are were caught up in a fire fight. Some were wounded. Goto the area and rescue 10 civilians in a MASH.",	"Nous venons d'apprendre que les civils sont ont été pris dans une fusillade. Certains ont été blessés. Aller à la zone et à sauver 10 civils dans un MASH."
STR_WC_MISSION65,	"Local civilians have reported an IED in the area. Goto the area and defuse it.",	"Civils locaux ont rapporté un IED dans la région. Aller à la zone et la désamorcer."
STR_WC_MISSION66,	"A FOB is in need of an ammo resupply. An ammo truck will be spawned near you. Bring the ammo truck to the FOB.",	"Un FOB a besoin d'un réapprovisionnement des munitions. Un camion de munitions seront pondus près de chez vous. Amenez le camion de munitions à la FOB."
STR_WC_MISSION67,	"A civilian doctor is in need of an escort to a hostile area. Clear the area and escort him to the MASH.",	"Un médecin civil a besoin d'une escorte pour une zone hostile. Dégagez la zone et l'escorter à l'MASH."
STR_WC_MISSION68,	"Intel has received information that a high level Russian general and his Insurgent equivalent counterpart are meeting in the area. Goto the zone and record the conversation. Do not get caught.",	"Intel a reçu des informations selon un high niveau général russe et son homologue insurgés équivalent sont réunis dans la région. Aller à la zone et l'enregistrement de la conversation. Ne pas se faire attraper."
STR_WC_MISSION69,	"Intel has spotted an enemy armor group in the area. Destroy all the %1 in the area.",	"Intel a repéré un groupe de blindés ennemis dans la zone. Détruisez tous les %1 dans la zone."
STR_WC_MISSION70,	"Intel has spotted an enemy apc group in the area. Destroy all the %1 in the area.",	"Intel a repéré un groupe apc ennemi dans la région. Détruisez tous les %1 dans la zone."
STR_WC_MISSION71,	"The enemy has an ammo cache in the area. Destroy all the ammo boxes in the area.",	"L'ennemi dispose d'un cache de munitions dans la région. Détruisez toutes les boîtes de munitions dans la région."
STR_WC_MISSION72,	"Intel has learned the position of a new enemy fire base. Raid the area and destroy all the enemy artillery pieces.",	"Intel a appris la position d'une base de feu nouvel ennemi. Raid de la région et détruire toutes les pièces d'artillerie ennemies."
STR_WC_MISSION100,	"Final mission: Intel has identified where the highest ranking Russian General in Chernarus is based. Killing him would strike a massive blow to the Russian army and their Insurgent allies in Chernarus effectivly ending the war. Raid the area and kill him.",	"Dernière mission: Intel a identifié où la plus élevée Classement général russe en Chernarus est basé. Le tuer serait un coup énorme à l'armée russe et ses alliés insurgés en Chernarus effectivly fin à la guerre. Raid de la zone et tuez-le."
STR_WCSHORT_MISSION0,	"Destroy a nuclear launcher",	"Détruisez un lanceur nucléaire"
STR_WCSHORT_MISSION1,	"Destroy a vehicle",	"Détruisez un véhicule"
STR_WCSHORT_MISSION2,	"Rob a vehicle",	"Voler un véhicule"
STR_WCSHORT_MISSION3,	"Sabotage a vehicle",	"Sabotage d'un véhicule"
STR_WCSHORT_MISSION4,	"Destroy a airplane",	"Détruire un avion"
STR_WCSHORT_MISSION5,	"Rob a airplane",	"Voler un avion"
STR_WCSHORT_MISSION6,	"Sabotage a airplane",	"Sabotage d'un avion"
STR_WCSHORT_MISSION7,	"Destroy a vehicle",	"Détruisez un véhicule"
STR_WCSHORT_MISSION8,	"Rob a vehicle",	"Voler un véhicule"
STR_WCSHORT_MISSION9,	"Sabotage a vehicle",	"Sabotage d'un véhicule"
STR_WCSHORT_MISSION10,	"Destroy a airplane",	"Détruire un avion"
STR_WCSHORT_MISSION11,	"Rob a airplane",	"Voler un avion"
STR_WCSHORT_MISSION12,	"Sabotage a airplane",	"Sabotage d'un avion"
STR_WCSHORT_MISSION13,	"Destroy a fuel station",	"Détruire une station d'essence"
STR_WCSHORT_MISSION14,	"Destroy a fuel tank",	"Détruisez un réservoir de carburant"
STR_WCSHORT_MISSION15,	"Destroy a barrack",	"Détruisez une caserne"
STR_WCSHORT_MISSION16,	"Kill a Russian commander",	"Tuer un commandant russe"
STR_WCSHORT_MISSION17,	"Kill a Insurgent commander",	"Tuer un commandant Insurgé"
STR_WCSHORT_MISSION18,	"Kill a Russian officer",	"Tuer un officier russe"
STR_WCSHORT_MISSION19,	"Kill a Insurgent officer",	"Tuer un agent des insurgés"
STR_WCSHORT_MISSION20,	"Capture a Russian commander",	"Capture d'un commandant russe"
STR_WCSHORT_MISSION21,	"Capture a Insurgent commander",	"Capture d'un commandant Insurgé"
STR_WCSHORT_MISSION22,	"Capture a Russian officer",	"Capture d'un officier russe"
STR_WCSHORT_MISSION23,	"Capture a Insurgent officer",	"Capture d'un officier des insurgés"
STR_WCSHORT_MISSION24,	"Kill the spy",	"Tuer l'espion"
STR_WCSHORT_MISSION25,	"Eliminate suicide bomber",	"Éliminer kamikaze"
STR_WCSHORT_MISSION26,	"Kill a civilian",	"Tuer un civil"
STR_WCSHORT_MISSION27,	"Capture a civilian",	"Capturez un civil"
STR_WCSHORT_MISSION28,	"Rescue a UH1 pilot",	"Sauvez un pilote UH1"
STR_WCSHORT_MISSION29,	"Rescue a C130 pilot",	"Sauvez un pilote C130"
STR_WCSHORT_MISSION30,	"Rescue an officer",	"Sauvez un officier"
STR_WCSHORT_MISSION31,	"Defend the bunker",	"Défendre le bunker"
STR_WCSHORT_MISSION32,	"Defend the tower",	"Défendre la tour"
STR_WCSHORT_MISSION33,	"Defend the control tower",	"Défendre la tour de contrôle"
STR_WCSHORT_MISSION34,	"Defend the factory",	"Défendre l'usine"
STR_WCSHORT_MISSION35,	"Defend the castle",	"Défendre le château"
STR_WCSHORT_MISSION36,	"Secure a control tower",	"Fixez une tour de contrôle"
STR_WCSHORT_MISSION37,	"Destroy a radio tower",	"Détruire une tour de radio"
